S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Mar Cap 3yrs back Cr.
666.,Shree OSFM,103.75,15.44,159.81,0.00,5.57,-5.27,70.06,12.15,19.67,
667.,Sharp Chucks and,138.55,20.08,159.47,0.00,3.39,-8.13,109.71,4.36,13.06,
668.,Uma Exports,46.83,,158.33,0.00,0.43,-93.36,300.33,-23.90,4.45,
669.,Sheel Bio.,77.55,15.19,157.83,0.00,,,,,14.48,
670.,Pro FX,90.10,12.88,157.71,0.00,,,,,51.05,
671.,Modern Threads,45.26,49.18,157.39,0.00,0.01,-94.44,69.86,20.34,2.90,
672.,Vital Chemtech,65.50,38.64,156.88,0.00,1.74,155.06,67.99,40.16,6.68,
673.,Esprit Stones,71.25,9.98,156.36,0.00,9.39,108.47,160.57,24.79,13.94,
674.,Classic Electrod,87.00,13.44,156.30,0.00,5.49,-1.26,100.25,0.37,22.30,
675.,Mayasheel Vent.,70.75,13.44,156.00,0.00,,,,,30.36,
676.,Divine Hira Jew.,119.30,27.99,155.65,0.00,3.06,,222.83,,19.69,
677.,B. D. Industries,108.10,20.19,153.61,0.00,,,,,45.54,
678.,Veekayem Fash.,259.20,19.93,152.30,0.00,4.68,88.71,198.57,32.96,14.05,
679.,Greenhitech Ven.,115.75,99.57,150.35,0.00,1.00,-21.26,8.47,34.87,18.71,
680.,Aztec Fluids,109.60,22.65,149.06,0.46,2.91,7.38,35.61,11.46,22.30,
681.,Shlokka Dyes,69.45,14.85,148.68,0.00,,,,,29.14,
682.,Rapid Fleet,199.00,14.43,147.95,0.00,3.27,,87.41,,24.80,
683.,Deepak Chemtex,135.30,11.75,146.99,0.00,6.87,140.21,40.59,47.01,33.79,
684.,Trust Fintech,61.40,16.25,146.29,0.81,3.84,-26.44,14.57,-10.17,15.67,
685.,Udayshivakumar,26.23,,145.20,0.00,-7.73,-522.40,58.16,4.94,-0.92,
686.,Chetana Educa.,71.00,10.73,144.84,0.00,3.44,-66.57,44.37,10.10,23.26,
687.,Forge Auto,132.45,14.73,144.64,0.00,5.50,,103.76,,23.64,
688.,Zeal Global Serv,108.50,9.98,144.41,0.00,5.39,-27.65,197.44,99.72,23.80,
689.,United Heat,75.90,27.22,144.24,0.00,2.24,-39.95,38.41,-3.81,15.69,
690.,Sotac Pharma.,129.85,18.55,143.48,0.08,6.11,131.44,44.39,-14.95,15.06,
691.,Quest Laborato.,87.55,8.86,143.47,0.00,4.10,177.03,23.18,52.00,26.87,
692.,De Neers Tools,165.90,9.08,142.78,0.00,,,,,,
693.,Matrix Geo Sol.,97.50,24.30,142.17,0.00,,,,,44.27,
694.,Greenchef Appli.,61.05,23.80,142.07,0.00,1.14,21.28,202.10,12.05,6.14,
695.,N R Vandana,60.50,16.50,140.93,0.00,2.04,,60.77,,18.85,
696.,Droneacharya Aer,58.72,,140.86,0.00,-15.08,-779.28,7.62,-46.75,-26.25,
697.,Sattva Eng.,80.00,15.58,139.75,0.00,,,,,28.63,
698.,Delaplex,152.75,13.46,139.16,0.00,5.52,6.77,28.83,4.87,20.24,
699.,Lakshya Powertec,137.35,8.75,138.50,0.00,8.39,-19.21,93.40,7.75,25.52,
700.,Urban Enviro,159.05,13.44,137.74,0.00,2.63,-13.77,69.11,23.39,28.13,
701.,Umiya Mobile,96.00,24.16,136.51,0.00,,,,,32.58,
702.,Mangalam Alloys,55.25,10.25,136.39,0.00,12.41,127.29,233.88,42.53,15.73,
703.,Master Component,340.00,33.17,136.00,0.15,4.82,45.51,24.67,78.77,20.16,
704.,Hari Govind Intl,171.35,,134.64,0.00,0.00,100.00,0.00,,-2.18,
705.,Beacon Trust.,74.00,24.62,133.68,0.00,1.18,,12.59,,23.57,
706.,Oval Projects,64.00,14.43,132.92,0.00,6.05,,58.77,,22.16,
707.,Manoj Ceramic,105.95,12.18,131.45,0.00,6.69,120.07,98.24,86.24,17.73,
708.,Sellowrap Indus.,95.45,12.36,131.19,0.00,5.81,10.98,86.58,14.98,20.85,
709.,Royal Sense,244.00,20.62,130.54,0.00,3.96,-18.69,39.71,263.31,35.18,
710.,Kaytex Fabrics,88.05,7.65,129.43,0.00,,,,,33.46,
711.,Softrak Venture,2.87,340.45,129.37,0.17,0.03,,0.00,-100.00,1.28,
712.,Sylvan Plyboard,66.00,18.67,127.87,0.00,3.51,,134.63,,11.46,
713.,KVS Castings,67.65,19.14,126.87,0.00,1.61,,13.25,,27.96,
714.,Diensten Tech,153.50,,126.80,0.00,-0.54,19.40,19.61,30.91,0.32,
715.,Indian Phosphate,50.45,17.25,126.07,0.00,6.51,68.21,455.68,6.38,8.51,
716.,Leo Dryfruits,70.00,15.35,125.24,0.00,6.67,,69.43,,22.39,
717.,Kundan Edifice,120.95,15.77,124.24,0.00,4.26,1474.19,50.31,17.46,22.95,
718.,Cedaar Textile,88.90,10.25,123.38,0.00,6.96,119.56,129.72,83.17,15.68,
719.,Newjaisa Tech,34.50,,123.06,0.00,-4.66,-236.26,31.93,-10.26,-0.44,
720.,Gem Enviro,54.00,20.00,121.77,0.46,1.50,-68.55,37.01,145.42,19.71,
721.,Pattech Fitwell,129.30,98.79,121.51,0.00,0.26,-74.26,23.81,26.38,9.67,
722.,Maiden Forgings,85.00,19.97,120.80,0.00,2.00,-63.90,103.82,-13.91,11.35,
723.,Valplast Technol,61.49,19.75,120.69,0.00,,,,,24.66,
724.,Aakaar Medical,85.00,19.95,120.47,0.00,,,,,26.66,
725.,Refractory Shap.,54.80,19.75,119.46,0.00,2.90,71.60,35.24,64.83,16.82,
726.,Ken Enter.,48.45,9.67,119.02,0.00,7.20,41.73,267.37,24.85,28.13,
727.,Crayons Advertis,48.60,11.20,118.73,0.00,7.51,-34.69,135.47,6.54,8.93,
728.,Moving Media,63.00,11.39,118.48,0.00,,,,,29.88,
729.,Odigma Consultan,37.84,288.49,118.28,0.00,0.11,22.22,6.57,-51.58,0.97,
730.,Jay Ambe Super.,133.20,43.01,118.28,0.00,,,,,24.49,
731.,Shanti Spintex,70.00,11.66,118.22,0.00,3.73,-52.06,354.90,3.32,13.88,
732.,Dharni Capital,58.00,30.69,118.15,0.00,2.00,26.58,3.60,5.57,24.96,
733.,New Swan,62.00,11.05,117.90,0.81,6.17,38.65,76.49,2.44,14.96,
734.,Maxposure,51.70,14.03,117.57,0.00,3.58,-13.73,25.84,14.08,17.67,
735.,Hoac Foods,270.45,47.14,117.39,0.00,,,,,,
736.,Alphalogic Indu,114.65,31.92,116.82,0.00,2.57,40.44,24.91,-36.94,19.62,
737.,Techknowgreen,157.50,15.18,116.28,0.00,3.86,34.49,19.43,36.64,29.50,
738.,Shri Hare-Krish.,60.00,12.52,115.15,0.00,,,,,16.05,
739.,DCG Cables,63.05,14.75,114.43,0.00,3.31,-21.00,67.98,40.57,17.15,
740.,Jyoti Global,57.50,18.75,113.97,0.00,,,,,23.71,
741.,Mayank Cattle Fo,210.00,20.73,113.40,0.00,2.52,24.75,185.39,3.44,16.45,
742.,Kabra Jewels,107.85,9.89,113.08,0.00,8.53,,133.02,,17.20,
743.,Amwill Health,55.83,13.82,111.68,0.00,3.87,-40.64,21.21,-8.42,27.56,
744.,Telge Projects,114.00,22.78,111.61,0.00,,,,,55.40,
745.,Fonebox Retail,108.10,24.38,110.91,0.00,2.83,50.53,178.08,13.13,33.64,
746.,Holmarc Opto,109.85,29.52,110.40,0.36,2.50,5.49,20.16,3.65,19.73,
747.,Digidrive Dist.,28.59,17.12,110.25,0.00,-0.10,-107.35,9.59,-30.81,3.79,
748.,Magson Retail,112.45,203.56,109.92,0.00,0.18,-90.58,35.24,9.41,3.24,
749.,Srivari Spices &,128.10,11.30,109.79,0.39,4.81,8.58,59.08,24.83,27.90,
750.,Ambo Agritec,55.08,88.87,109.31,0.00,-0.07,,67.99,,8.63,
751.,Digikore Studios,85.05,,107.72,0.00,6.11,116.67,34.47,52.72,-11.06,
752.,Super Iron,46.00,19.64,107.61,0.00,3.72,,132.11,,7.03,
753.,Parmeshwar Metal,70.00,9.76,107.14,1.07,6.71,7.19,751.39,35.14,23.91,
754.,Paragon Fine,54.20,17.91,106.05,0.00,4.21,-49.40,64.13,4.84,9.17,
755.,Landmark Global,51.15,8.26,105.42,0.00,7.79,,19.62,,28.83,
756.,Zenith Drugs,61.40,14.40,105.29,0.00,1.44,-56.10,65.63,5.50,12.90,
757.,ROX Hi-Tech,46.05,5.29,105.16,0.00,19.93,,187.46,,,
758.,Suntech Infra.,54.20,8.86,104.95,0.00,9.70,48.77,94.79,71.53,22.39,
759.,Retina Paints,68.00,80.24,104.31,0.00,0.95,-67.13,14.80,127.69,8.06,
760.,ARC Insulation,101.10,12.15,104.11,0.00,,,,,52.61,
761.,Renol Polychem,130.65,20.76,103.79,0.00,1.13,,14.69,,46.09,
762.,Curis Lifescien.,,19.31,103.48,,1.20,,9.12,,,
763.,ATC Energies,50.40,9.03,102.76,0.00,5.61,10.43,28.82,14.87,19.27,
764.,Vdeal System,210.10,25.75,102.75,0.00,2.74,32.37,24.35,32.34,25.57,
765.,Naman In-Store,78.50,16.38,102.57,0.00,1.47,-58.12,89.14,36.03,14.17,
766.,My Mudra Fin.,90.00,11.38,102.53,0.00,6.14,41.47,46.63,19.56,31.35,
767.,Safecure Service,,16.62,102.41,,1.52,,15.46,,27.38,
768.,Shivam Chemicals,60.09,48.84,102.07,0.00,1.51,109.72,129.72,57.62,11.38,
769.,Shri Balaji,124.00,15.57,101.18,0.00,4.30,-0.23,44.04,-2.78,15.16,
770.,Electro Force,43.20,78.98,101.09,0.00,1.18,186.76,36.81,176.14,2.48,
771.,OneClick Logisti,280.25,47.20,101.00,0.00,0.99,23.75,23.25,-19.13,20.85,
772.,Arvind Port &,59.05,9.93,100.77,0.00,5.74,,13.02,,,
773.,Saj Hotels,62.35,27.62,100.54,0.00,0.06,-81.82,3.68,18.33,5.55,
774.,Ideal Technopl.,200.00,34.72,100.00,0.00,1.82,24.66,14.28,-9.96,20.19,
775.,Supreme Facility,39.80,11.91,98.82,0.00,3.21,-9.94,201.10,2.28,13.88,
776.,Sona Machinery,72.00,26.49,98.81,0.00,1.18,-84.37,55.09,-2.98,7.70,
777.,Silkflex Polymer,84.50,14.01,98.08,0.00,3.81,75.58,45.01,25.59,24.08,
778.,Jayesh Logistics,111.95,13.51,97.30,0.00,,,,,31.21,
779.,Ambey Laborator.,39.00,20.61,97.29,0.00,1.82,-6.67,63.62,6.09,9.97,
780.,Steelman Telecom,100.45,,97.20,0.00,0.68,222.56,129.44,11.47,-8.61,
781.,Viaz Tyres,78.75,28.89,96.48,0.00,2.04,64.52,28.88,2.19,11.95,
782.,Kaushalya,52.05,8.29,96.45,0.00,5.72,19.42,752.74,28.17,18.85,
783.,Konstelec Engg.,63.50,20.98,95.89,0.00,1.04,-82.75,109.26,-10.68,9.24,
784.,Sunsky Logistics,77.00,36.97,95.75,0.00,,,,,75.19,
785.,Paramatrix Tech.,83.00,17.92,95.52,0.00,3.41,46.98,14.75,4.02,13.89,
786.,Pruden. Sugar,26.57,16.43,94.99,0.00,1.40,3.70,5.21,-84.69,7.66,
787.,Technichem Org.,54.82,23.56,94.96,0.00,1.87,-42.64,30.27,5.21,13.82,
788.,Ashapura Logi.,69.00,7.61,93.54,0.00,5.84,-10.40,137.42,27.80,13.94,
789.,Kandarp Digi,103.95,57.93,93.27,0.00,1.32,91.43,15.72,63.58,12.96,
790.,Sonu Infratech,90.00,8.32,93.14,0.00,2.64,98.50,36.53,106.62,20.36,
791.,Studio LSD,17.90,7.95,92.89,0.00,,,,,72.75,
792.,Crop Life Scienc,54.00,13.98,92.56,0.00,3.18,18.66,94.26,-6.82,12.06,
793.,Storage Tech,71.26,24.60,91.50,0.42,2.48,-62.76,50.80,-2.42,18.23,
794.,Sodhani Capital,114.80,41.84,91.21,0.00,,,,,47.30,
795.,Gujarat Peanut,88.70,13.63,91.02,0.00,,,,,22.64,
796.,Adtech Systems,76.30,19.76,90.90,1.31,0.66,-35.29,8.79,-11.84,12.92,
797.,Jungle Camps,58.61,22.88,90.84,0.00,1.13,-6.36,5.35,-5.14,14.51,
798.,Brace Port,80.30,13.23,90.75,0.93,3.19,-1.54,36.03,-0.96,35.17,
799.,Aptus Pharma,132.00,29.21,90.55,0.00,,,,,38.20,
800.,Delta Auto.,58.95,10.73,90.13,0.00,5.88,,52.34,,23.37,
801.,Rexpro Enter.,79.50,11.12,89.09,0.00,4.15,68.02,52.38,42.34,28.34,
802.,H.M. Electro,64.37,10.56,88.18,0.00,5.02,,76.27,,22.41,
803.,Aristo Bio-Tech,129.00,21.90,87.82,0.39,-0.49,-137.12,103.95,-7.45,12.42,
804.,TSC India,62.40,17.09,87.66,0.00,1.74,19.12,8.10,35.23,22.03,
805.,Mehul Colours,82.50,15.88,87.03,0.00,,,,,51.28,
806.,Pranik Logistics,78.90,11.93,86.87,0.00,1.93,77.06,39.16,75.53,24.32,
807.,Sangani Hospital,62.90,33.46,86.66,0.00,0.89,-46.39,11.18,45.76,9.91,
808.,Malpani Pipes,79.84,10.66,86.05,0.00,4.91,240.97,83.23,24.28,23.27,
809.,Icodex Publish.,55.00,9.60,86.00,0.00,,,,,82.77,
810.,Silky Overseas,135.00,7.44,85.96,0.00,2.82,71.95,25.26,19.49,36.55,
811.,Vijaypd Ceutical,44.00,17.90,85.93,0.00,,,,,20.40,
812.,Manas Polymers,109.70,19.88,85.30,0.00,1.18,,8.50,,32.46,
813.,Trom Industries,92.70,18.49,85.24,0.00,0.48,-87.06,47.08,51.48,18.46,
814.,Jayant Infratech,83.79,10.25,85.10,0.00,5.56,115.50,66.58,15.25,22.29,
815.,Sameera Agro,14.25,5.84,84.86,0.00,3.93,8.56,51.82,14.32,18.17,
816.,WOL 3D India,131.50,15.18,84.84,0.00,2.66,,25.51,,30.11,
817.,Olatech Solution,190.00,20.09,84.56,0.00,0.95,-45.40,9.61,11.87,39.93,
818.,Vigor Plast,81.50,16.38,84.37,0.00,,,,,30.41,
819.,Srivasavi Adhes.,59.50,12.64,84.34,0.00,2.49,4.18,50.00,34.19,23.84,
820.,Hilltone Softwar,75.61,,82.65,0.00,-0.18,-280.00,2.34,15.84,2.34,
821.,Grill Splendour,145.95,,82.58,0.00,-3.30,-254.84,5.85,-13.46,-24.53,
822.,Healthy Life,16.64,24.21,82.57,0.00,0.83,22.06,42.76,23.37,13.34,
823.,Deccan Transcon,36.30,13.39,82.49,0.00,1.30,,89.72,,10.44,
824.,Repono,80.00,15.97,82.23,0.00,,,,,47.51,
825.,Nexxus Petro,118.00,13.47,82.01,0.00,4.75,262.60,217.82,120.29,26.11,
826.,Aditya Ultra,32.75,8.72,81.34,0.00,4.13,,272.93,,13.38,
827.,Siddhi Cotspin,33.30,6.21,81.27,0.00,,,,,15.57,
828.,Baweja Studios L,43.85,9.76,80.80,0.00,5.27,36.18,43.39,69.29,11.19,
829.,Dar Credit & Cap,56.55,10.82,80.73,0.88,2.04,25.15,10.98,12.96,12.51,
830.,Snehaa Organics,79.15,10.98,80.57,0.00,,,,,58.77,
831.,Happy Square,69.20,13.61,80.27,0.00,,,,,40.91,
832.,Arabian Petrol.,73.20,8.25,79.73,0.00,4.49,50.90,146.19,1.70,18.68,
833.,Sri Chakra Cem.,87.60,,78.84,0.00,-6.70,27.09,37.32,14.94,-69.71,
834.,Marco Cables,42.00,15.10,78.54,0.00,2.47,17.62,62.67,23.03,20.13,
835.,Sancode Tech.,192.15,159.55,78.18,0.00,1.82,219.05,8.05,105.88,7.07,
836.,Praruh Tech,56.00,11.49,78.01,0.00,,,,,35.32,
837.,Rama Telecom,59.00,14.11,77.88,0.00,,,,,44.56,
838.,Share Samadhan,63.25,24.64,77.61,0.00,3.16,-17.79,9.99,59.58,21.95,
839.,M P K Steels,76.20,13.17,77.58,0.00,,,,,26.06,
840.,Greenleaf Envi.,130.00,16.79,77.08,0.00,,,,,46.45,
841.,Lead Reclaim,89.10,52.73,76.99,0.00,0.97,321.74,21.92,124.82,13.10,
842.,Mangal Compuso.,55.75,19.50,75.85,0.90,2.34,39.85,15.73,45.65,17.24,
843.,Vels Film,58.60,78.79,75.64,0.00,-20.14,-12.07,31.38,486.54,4.38,
844.,On Door Concepts,133.50,9.69,75.41,0.00,4.71,-13.42,151.67,17.62,7.86,
845.,Ameya Precision,100.00,17.94,75.00,0.00,2.42,33.70,19.68,3.69,22.55,
846.,Cargotrans Marit,159.90,21.82,74.83,0.31,1.97,169.86,44.47,92.76,23.64,
847.,Pentagon Rubber,95.45,27.46,73.59,0.00,1.76,-11.56,25.02,-13.87,7.38,
848.,Mega Flex Plast.,60.25,26.97,73.09,0.00,3.22,117.57,43.03,73.30,7.38,
849.,Swastik Pipe,31.15,,72.37,0.00,-9.50,-1022.33,380.41,4.00,4.26,
850.,Onyx Biotec,39.90,17.14,72.35,0.00,1.97,-2.96,31.80,6.50,12.16,
851.,Abha Power,38.65,11.53,71.84,0.00,3.17,34.89,35.78,16.78,18.29,
852.,3B Films,29.00,14.23,71.84,0.00,2.04,-37.23,38.91,-13.13,8.55,
853.,Srigee DLM,120.20,14.33,71.80,0.00,2.70,30.43,35.16,1.24,33.86,
854.,Dev Labtech,60.22,55.38,71.44,0.00,0.81,2600.00,32.90,47.53,5.70,
855.,Rudra Gas,85.53,10.63,71.31,0.00,4.10,84.68,60.46,88.11,23.20,
856.,Rachana Infra.,38.20,17.68,71.07,0.00,3.80,31.03,64.42,-0.59,7.15,
857.,Chiraharit,12.91,11.75,70.74,0.00,,,,,38.76,
858.,K2 Infragen,55.95,5.97,70.60,0.00,7.35,15.20,95.14,92.86,18.09,
859.,Nukleus Office,175.00,34.09,70.56,0.00,1.14,,14.37,,11.87,
860.,Synoptics Techno,83.20,17.46,70.55,0.00,0.58,-79.79,19.67,14.76,8.75,
861.,Asston Pharmaceu,82.65,18.46,70.35,0.00,,,,,36.62,
862.,J A Finance,65.83,,70.10,0.00,0.19,-34.48,0.73,7.35,5.65,
863.,Samay Project,45.15,16.82,69.30,0.00,,,,,29.78,
864.,S A Tech Soft.,53.00,9.33,69.20,0.00,2.92,,48.51,,29.91,
865.,Rachit Prints,139.50,15.13,68.86,0.00,1.03,,9.80,,38.57,
866.,Paramount Specia,34.95,15.39,68.79,0.00,2.87,30.45,62.59,20.07,12.49,
867.,Nirman Agri,85.80,2.72,68.72,2.33,6.92,107.19,63.00,207.92,35.16,
868.,Identixweb,65.26,18.47,68.14,0.00,1.37,60.75,4.38,30.75,34.33,
869.,Comrade Applian.,88.00,128.32,68.01,0.00,2.34,-24.03,40.50,112.60,6.85,
870.,Homesfy Realty,209.95,49.08,67.73,0.00,-0.05,-100.71,28.48,-23.34,4.65,
871.,Three M Paper,35.00,6.74,67.33,0.00,4.32,-17.56,139.55,-1.11,12.18,
872.,Takyon Networks,46.20,9.51,66.17,0.00,,,,,25.96,
873.,Vertexplus Tech.,120.65,75.12,66.11,0.00,2.57,1252.63,11.08,36.12,5.85,
874.,Durlax Top,39.75,8.81,66.10,0.00,4.10,135.63,63.22,21.20,14.76,
875.,Hybrid Financial,22.34,19.28,65.76,0.00,1.09,-1.80,1.80,0.56,11.17,
876.,Premium Plast,34.30,10.16,65.50,0.00,2.61,9.21,23.27,-1.06,23.81,
877.,Dhanlaxmi Crop,40.05,7.53,65.39,0.00,0.46,116.20,9.35,79.81,35.36,
878.,Swastika Castal,80.00,25.02,65.31,0.00,,,,,25.22,
879.,Bulkcorp Inter.,86.50,18.47,65.00,0.00,2.13,-12.35,34.24,24.24,21.42,
880.,Associated Cera.,214.90,37.33,64.58,0.00,0.73,-37.61,12.81,43.13,10.78,
881.,Shining Tools,,40.83,64.51,,,,,,26.89,
882.,Shantidoot Infra,355.50,12.04,63.92,0.00,0.90,130.77,5.05,54.91,86.13,
883.,Blue Pebble,156.50,12.62,63.85,0.32,1.29,55.42,22.28,150.90,39.40,
884.,Sampat Aluminium,74.80,9.15,63.44,0.00,,,,,28.60,
885.,Accretion Pha.,56.75,9.29,63.08,0.00,4.33,190.60,38.81,190.71,46.36,
886.,Graphisads,34.50,7.51,63.05,0.00,4.14,79.22,76.04,13.88,8.61,
887.,Shelter Pharma,41.50,8.52,61.68,0.84,3.70,18.59,26.60,28.44,24.48,
888.,Moxsh Overseas,67.55,,60.55,0.00,-0.38,84.92,4.03,44.96,1.13,
889.,Shanmuga Hos.,44.45,14.37,60.51,0.00,1.81,-27.31,23.23,6.12,17.20,
890.,Abram Food,116.45,18.41,60.02,0.00,,,,,37.95,
891.,Popular Found.,29.20,15.70,59.50,0.00,1.39,,34.68,,14.92,
892.,Rajgor Castor,24.85,6.60,59.43,0.40,7.29,13.55,347.49,-7.14,17.35,
893.,Vruddhi Engineer,235.00,39.80,59.30,0.00,1.10,587.50,17.97,44.11,27.00,
894.,Jain Irrigat-DVR,30.42,,58.69,0.00,20.42,85.30,1092.49,7.78,,
895.,Mittal Sections,50.62,16.26,58.55,0.00,,,,,25.95,
896.,Auro Impex,47.95,12.61,58.50,0.00,2.19,-21.79,138.75,-4.49,10.63,
897.,Swashthik Plas.,30.00,8.39,58.40,0.00,2.50,-5.66,72.06,20.02,10.87,
898.,Service Care Ltd,43.60,28.77,58.11,0.00,-0.32,-112.03,95.17,-8.18,5.12,
899.,Sungarner Energ.,250.50,34.99,58.08,0.00,0.84,1.20,21.77,113.64,17.99,
900.,AJC Jewel,94.98,19.94,57.64,0.00,,,,,14.68,
901.,Baba Food,35.00,13.26,57.14,0.00,1.92,-32.87,121.36,21.84,6.76,
902.,Toss The Coin,301.50,45.22,56.98,0.83,0.09,,4.29,,19.47,
903.,Austere Sys.,54.10,14.14,56.69,0.00,,,,,42.31,
904.,Nanavati Venture,120.20,244.04,56.13,0.00,0.20,-66.67,5.19,-63.76,1.39,
