S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Mar Cap 3yrs back Cr.
905.,Presstonic Engi.,72.75,65.20,56.07,0.00,5.29,368.14,17.96,50.42,8.08,
906.,Ganga Bath Fitt.,24.90,36.14,55.30,0.00,0.39,-84.40,16.72,2.26,27.58,
907.,Rex Sealing,212.00,28.39,54.80,0.00,0.72,-63.64,16.63,3.68,12.91,
908.,SPA CAPT SER,178.00,94.34,54.72,0.00,0.19,90.00,10.69,163.30,3.58,
909.,Unilex Colour &C,40.05,8.63,54.54,0.00,2.22,,72.80,,13.63,
910.,Chamunda Ele.,49.30,14.39,54.25,0.00,2.83,143.97,15.02,39.07,30.62,
911.,Divyadhan Recy.,37.80,35.12,54.08,0.00,1.42,-48.74,31.42,13.72,9.07,
912.,Prospect Consum.,87.00,24.94,53.38,0.00,1.04,0.97,17.84,45.51,14.67,
913.,AGS Transact,4.13,,53.04,0.00,-194.26,-1163.07,209.60,-43.92,1.26,
914.,Identical Brains,37.80,13.42,53.02,0.00,1.55,-21.72,14.08,40.38,23.43,
915.,Newmalayalam St.,30.55,11.98,52.81,0.00,-0.78,-265.96,149.95,7.60,9.64,
916.,Indobell Insul.,83.13,23.91,52.37,2.41,1.76,225.93,20.19,107.93,23.71,
917.,Vishwas Agri,51.95,8.43,51.95,0.00,3.80,,45.03,,14.55,
918.,Quicktouch Tech,43.70,430.33,51.64,0.00,-3.11,-363.40,9.81,-76.47,6.25,
919.,MCON Rasayan,70.30,22.70,51.52,0.00,1.02,-12.07,29.18,17.28,11.11,
920.,Agni Green,26.30,81.56,51.38,0.00,0.47,74.07,24.93,18.66,6.94,
921.,Teerth Gopicon,42.60,3.98,51.12,0.00,3.32,-59.16,50.27,-25.58,27.59,
922.,Pace E-Commerce,22.53,12.41,50.77,0.00,2.15,58.09,42.12,59.00,6.53,
923.,Rulka,119.10,22.44,50.72,0.00,1.32,-62.29,49.78,44.08,12.25,
924.,Rukmani Devi Gar,56.28,6.60,49.95,0.00,,,,,19.20,
925.,Supertech EV,39.90,8.00,49.31,0.00,,,,,41.32,
926.,Marc Loire,69.01,10.40,49.00,0.00,,,,,72.75,
927.,Uma Converter,24.00,18.02,48.66,0.00,0.42,-86.36,113.03,28.02,7.09,
928.,Spinaroo Comm.,69.49,33.75,48.60,0.00,0.82,,18.30,,18.54,
929.,Italian Edibles,32.85,15.91,48.54,0.30,1.07,-31.85,43.02,14.66,11.43,
930.,Infonative Solu.,39.96,7.98,47.34,0.00,2.30,1252.94,10.44,45.61,51.41,
931.,V.L.Infraproject,30.05,6.71,47.22,0.00,3.47,10.51,68.71,34.09,27.34,
932.,Dipna Pharmachem,19.60,48.59,47.13,0.00,0.64,30.61,34.30,-61.96,6.64,
933.,Aatmaj Health,20.80,73.45,47.01,0.00,0.33,123.40,11.03,53.84,3.39,
934.,Kontor Space,75.55,11.33,46.69,0.00,2.69,171.72,11.83,85.42,16.77,
935.,Globtier Infotec,30.65,8.43,46.35,0.00,,,,,31.11,
936.,Sharma E I Hosp.,141.05,35.05,46.26,0.00,0.32,28.00,9.47,40.92,12.77,
937.,Icon Facil.,57.20,10.06,44.96,0.00,,,,,49.71,
938.,Swojas Foods,14.43,14.70,44.68,0.00,0.22,1200.00,31.42,,73.33,
939.,Khyati Global,63.50,9.43,44.31,0.00,2.09,,61.20,,19.86,
940.,Shreenath Paper,22.40,15.24,44.03,0.00,,,,,11.74,
941.,Manoj Jewellers,48.95,9.24,43.98,0.00,2.50,,34.84,,28.01,
942.,Dindigul Farm,17.99,,43.95,0.00,-7.63,,29.34,,-3.73,
943.,Pearl Green Club,163.85,,43.86,0.00,-0.20,-400.00,2.77,-18.53,-0.49,
944.,LGT Business,46.55,8.36,43.63,0.00,,,,,50.12,
945.,Radiowalla,61.20,57.52,43.14,0.00,0.40,2.56,10.07,4.03,13.65,
946.,Integrity Infra.,100.25,15.68,43.11,0.00,1.32,,62.89,,29.77,
947.,JFL Life,13.00,14.30,42.89,0.00,0.75,-60.73,11.59,21.49,15.81,
948.,Deem Roll-Tech,51.05,14.68,42.56,0.00,1.02,-74.75,46.39,-8.61,4.74,
949.,Modern Malleable,3.65,3.29,42.53,0.00,2.45,610.42,27.82,1109.57,0.81,
950.,Gurunanak Agri.,35.30,6.92,42.36,0.00,,,,,55.48,
951.,Tapi Fruit,97.85,,42.08,0.00,-0.67,-185.71,10.39,-3.08,-8.91,
952.,Phoenix Overseas,21.75,9.19,42.08,2.76,3.39,-22.95,286.81,4.82,11.36,
953.,Agarwal Float,58.00,13.68,42.01,0.00,1.04,252.94,39.58,7.73,17.60,
954.,DRS Cargo Movers,55.35,122.62,41.69,0.00,-0.65,51.13,11.25,0.45,3.70,
955.,Lamosaic India,40.10,5.43,41.46,0.00,10.41,,72.82,,,
956.,Vashishtha Lux.,174.00,28.88,41.01,0.00,,,,,35.74,
957.,Faalcon Concepts,59.99,15.34,40.97,0.00,1.42,27.93,15.82,74.42,22.97,
958.,Sai Swami Metals,32.12,11.02,40.90,0.00,2.03,72.03,42.34,204.17,19.27,
959.,Thinking Hats,32.60,11.06,40.71,0.00,2.56,-6.57,39.02,91.18,20.61,
960.,Amkay Products,46.98,16.13,40.66,0.00,1.51,13.53,20.55,23.13,16.88,
961.,HRH Next,30.25,12.72,39.94,0.00,1.10,233.33,28.81,20.14,15.33,
962.,Neelam Linens,19.60,14.68,39.63,0.00,1.76,-6.88,73.19,8.17,9.95,
963.,Essex Marine,25.83,21.66,39.42,0.00,,,,,14.69,
964.,Solvex Edibles,43.99,9.63,39.38,0.00,,,,,,
965.,Medicamen Organ.,33.30,9.62,38.96,0.00,2.54,101.59,21.58,54.70,16.88,
966.,TECIL Chemical,20.54,,38.94,0.00,-0.08,46.67,0.00,,,
967.,Tridhya Tech,16.65,,38.77,0.00,-3.97,-156.14,14.12,-20.76,2.90,
968.,Travels & Rent.,34.58,12.03,38.74,0.00,1.48,,6.27,,24.13,
969.,Nacdac Infra.,36.75,9.34,38.68,0.00,3.33,69.90,41.19,55.14,26.22,
970.,Manglam Infra,21.80,13.14,38.36,0.00,-0.10,,27.82,,12.90,
971.,Sati Poly,77.00,2.56,38.09,0.00,-14.11,438.10,156.09,50.56,39.33,
972.,United Cotfab,22.06,13.79,37.92,0.00,0.98,-66.78,63.22,13.22,9.91,
973.,Signoria Creatio,79.60,12.54,37.87,0.00,1.73,-1.70,17.17,31.98,16.78,
974.,Arunaya Organics,21.50,8.94,37.71,0.00,1.95,62.50,54.75,47.77,25.37,
975.,Kalana Ispat,28.65,30.88,37.36,0.00,0.50,-67.32,27.57,-35.81,6.98,
976.,A G Universal,67.70,41.26,37.13,0.00,0.51,-57.50,31.27,-18.33,8.03,
977.,Docmode Health,117.90,,37.05,0.00,-1.38,-17.95,21.35,30.18,-0.29,
978.,Vilin Bio Med,26.50,168.05,36.97,0.00,0.10,116.39,10.32,26.47,4.20,
979.,Sonalis Consumer,76.83,13.77,36.49,0.00,2.47,951.72,60.79,9549.21,43.32,
980.,Piotex Indus.,71.20,10.82,36.34,0.00,1.73,,68.61,,23.93,
981.,Guj. Inject(Ker),24.45,37.31,35.82,0.00,0.07,-41.67,2.42,-20.66,13.48,
982.,Paramount Dye,51.00,4.43,35.41,0.00,4.45,25.71,45.03,91.54,16.12,
983.,Hemadri Cements,53.08,,35.40,0.00,-2.87,72.40,0.00,-100.00,-77.44,
984.,Rose Merc.,63.86,21.17,35.36,0.19,6.24,551.22,22.13,9120.83,32.01,
985.,Mono Pharmacare,20.00,11.44,35.34,0.00,0.82,39.66,81.18,45.46,11.00,
986.,Vandan Foods,41.90,5.08,35.13,0.00,4.85,1464.52,54.05,59.30,46.54,
987.,Sihora Indust.,65.80,18.74,35.05,0.00,,,,,36.04,
988.,Retaggio Indust.,22.50,14.41,35.02,0.00,1.62,37.29,14.46,119.42,12.60,
989.,Picturepost Stu.,11.95,6.95,35.01,0.00,2.59,42.31,19.61,40.88,32.29,
990.,Shree Marutinand,100.20,12.16,34.67,0.00,2.09,84.48,59.97,22.36,17.46,
991.,Aik Pipes & Poly,52.70,26.20,33.53,0.00,0.07,-95.62,9.23,-42.28,8.62,
992.,Galaxy Medicare,22.00,9.91,33.38,0.00,,,,,17.70,
993.,Cell Point,17.75,89.65,33.17,0.00,2.04,6400.00,171.19,4.71,4.77,
994.,Transvoy Logist.,124.45,15.41,33.14,0.00,1.44,323.53,20.79,3.64,21.40,
995.,Medistep Health.,23.30,8.00,33.11,0.00,1.02,,11.25,,37.83,
996.,Krupalu Metals,55.85,15.26,32.80,0.00,,,,,26.54,
997.,GB Logistics,40.00,3.65,32.78,0.00,6.28,111.45,154.98,206.59,28.20,
998.,City Crops Agro,20.00,13.16,32.63,0.00,1.25,-7.41,34.06,24.94,8.46,
999.,Abril Paper,40.31,22.82,32.17,0.00,,,,,20.04,
1000.,Rapid Multimodal,84.00,14.16,32.01,0.00,0.99,,59.21,,29.59,
1001.,QVC Exports,30.45,6.19,31.82,1.64,4.34,-15.07,197.53,-31.44,11.20,
1002.,Micropro Softwar,21.80,,31.17,0.00,-0.55,-110.72,16.76,7.99,-3.38,
1003.,Swati Projects,30.50,,30.81,0.00,-0.65,-482.35,0.63,65.79,2.39,
1004.,Mahalaxmi Fab.,28.97,34.19,30.77,0.00,2.59,1423.53,33.52,-14.40,0.13,
1005.,Ahasolar Technol,99.80,,30.76,0.00,1.93,138.27,34.92,19.75,-5.71,
1006.,Yudiz Solutions,29.50,,30.44,0.00,,,,,,
1007.,Earthstahl &All.,24.50,56.58,29.99,0.00,-0.14,-116.87,35.60,-15.72,3.58,
1008.,KK Shah Hospital,43.30,,29.48,0.00,-0.70,-289.19,4.97,42.41,-2.33,
1009.,Command Polymers,31.25,52.32,29.30,0.00,0.41,116.33,2.28,-47.10,4.73,
1010.,Eighty Jewellers,28.60,15.77,29.17,0.00,0.59,-34.44,59.74,29.31,10.10,
1011.,Valencia India,22.00,13.55,28.60,0.00,0.89,-8.25,3.43,-31.81,22.21,
1012.,AccelerateBS Ind,83.00,39.10,28.54,1.20,0.60,1.69,3.53,-13.48,22.18,
1013.,Cargosol Logist.,27.75,202.21,28.31,0.00,0.90,-29.13,60.81,-15.00,7.01,
1014.,Goel Food,14.75,5.50,27.81,0.00,4.56,34.12,16.51,18.95,17.83,
1015.,Groarc Industrie,13.55,,27.73,0.00,0.87,495.45,22.54,2247.92,2.91,
1016.,Aspire & Innovat,17.95,7.00,27.24,0.00,1.73,-67.84,66.87,-67.76,10.72,
1017.,SPP Polymer,17.40,23.70,26.78,2.87,0.25,-85.12,53.52,4.82,7.02,
1018.,Davin Sons Reta,50.47,16.00,26.56,0.00,0.93,9.41,7.24,-19.38,21.62,
1019.,Mandeep Auto,25.50,18.70,26.36,0.00,2.77,85.91,16.29,-2.28,6.98,
1020.,Hindustan Agrig.,59.80,657.75,26.31,0.00,0.40,900.00,0.04,0.00,-3.53,
1021.,SVS Ventures,12.28,327.75,26.22,0.00,0.01,-88.89,-0.24,-209.09,0.30,
1022.,JHS Svend.Retail,31.59,,25.92,0.00,-0.04,-140.00,3.28,-5.48,3.55,
1023.,Naturewings Hol.,81.90,23.96,25.88,1.83,0.36,-56.10,9.00,-3.43,25.40,
1024.,Vrundavan Planta,48.00,14.55,25.60,0.00,0.55,-22.54,12.53,8.30,10.38,
1025.,Global Longlife,23.72,,24.91,0.00,-1.04,67.70,0.00,-100.00,-13.69,
1026.,Vikram Aroma,79.41,,24.90,0.00,0.06,110.34,5.09,-34.15,-4.83,
1027.,NAPS Global,56.00,14.77,24.81,0.00,1.39,,42.33,,23.81,
1028.,Cyber Media Res.,84.00,8.95,24.60,2.38,1.06,70.97,22.01,21.87,15.41,
1029.,Technopack Poly.,22.75,14.28,24.57,0.00,0.87,569.23,8.04,39.58,11.59,
1030.,Indong Tea Co,12.58,87.25,24.43,0.00,-2.83,16.27,15.93,87.85,1.90,
1031.,Yasons Chemex,12.50,31.75,24.13,0.00,1.02,-45.74,49.27,67.70,7.37,
1032.,BLT Logi.,50.30,6.38,24.12,0.00,,,,,31.56,
1033.,Shanthala FMCG,35.85,24.75,24.01,0.00,0.55,223.53,26.89,18.98,5.98,
1034.,Om Metallogic,29.70,10.52,23.35,0.00,,,,,20.90,
1035.,SBEC Systems,23.33,9.48,23.33,0.00,0.22,10.00,0.75,13.64,50.83,
1036.,Aten Papers,22.18,8.22,22.85,0.00,3.82,,58.17,,23.21,
1037.,Maks Energy,32.80,31.60,22.75,0.00,0.42,14.00,32.43,-8.34,9.49,
1038.,Inspire Films,16.50,,22.46,0.00,-1.34,-218.58,3.75,-58.70,-8.59,
1039.,Shoora Designs,48.43,373.17,22.39,0.00,0.28,460.00,2.53,204.82,0.25,
1040.,Jay Kailash,44.50,18.38,22.24,0.00,0.61,-4.69,6.22,-18.90,12.07,
1041.,Hamps Bio,25.48,74.00,22.20,0.00,0.03,-86.96,3.13,-6.01,6.68,
1042.,Gajanand Inter.,11.75,61.47,22.13,0.00,-0.78,-165.00,51.59,-33.77,4.22,
1043.,TGIF Agribusines,85.00,12.64,21.99,0.00,0.77,14.93,1.48,-3.27,27.56,
1044.,Containe Tech.,34.99,24.55,21.85,0.00,0.41,20.59,8.66,54.92,9.25,
1045.,Machhar Industri,291.00,165.85,21.56,0.00,0.11,-21.43,3.51,-25.16,3.55,
1046.,Triumph Intl.,28.65,5.63,21.49,0.00,0.98,18.07,0.00,,8.76,
1047.,Benchmark Comp.,31.00,12.59,21.28,0.00,0.67,-46.83,24.45,12.99,8.11,
1048.,Parmeshwari Silk,70.78,2.55,21.24,0.00,2.22,39.88,60.60,8.91,11.89,
1049.,Fone4 Communica.,8.44,,21.06,0.00,-1.77,72.43,24.08,-69.27,-33.05,
1050.,Quality Foils,73.35,14.64,20.93,0.00,0.83,1.22,94.26,22.38,4.19,
1051.,Shashwat Furnis.,98.84,41.28,20.64,0.00,0.49,,11.18,,,
1052.,Neopolitan Pizza,12.00,49.76,20.40,0.00,-0.42,-135.00,34.49,22.05,3.13,
1053.,EP Biocomposites,120.95,22.11,20.34,0.00,0.09,-57.14,4.07,-7.50,14.28,
1054.,Boss Packaging,45.10,13.02,20.05,0.00,0.93,24.00,9.88,5.78,22.69,
1055.,Citichem India,29.46,16.28,20.03,0.00,1.11,,52.70,,11.56,
1056.,Bikewo Green,15.30,30.24,19.96,0.00,0.01,-99.15,14.44,-14.61,4.04,
1057.,Sunrest Lifescie,46.50,9.93,19.95,0.00,,,,,,
1058.,Koura Fine Diamo,42.50,116.94,19.88,0.00,0.10,-52.38,25.74,-16.86,4.35,
1059.,Marinetrans Indi,15.40,39.20,19.60,0.00,0.26,160.00,78.96,22.91,5.48,
1060.,Excellent Wires,43.60,17.40,19.49,0.00,0.77,87.80,11.70,36.84,12.24,
1061.,PDP Shipping,65.25,9.20,19.41,0.00,1.87,73.15,12.09,-2.18,21.49,
1062.,Brisk Technovisi,97.00,20.00,19.40,3.09,0.14,-70.83,17.09,52.73,18.75,
1063.,Mish Designs,60.83,21.75,19.36,0.00,0.63,12.50,11.91,34.12,9.11,
1064.,L.K.Mehta Poly.,50.40,32.25,19.35,0.00,0.35,,11.86,,10.59,
1065.,Innokaiz India,18.85,,19.27,0.00,-3.21,-1505.00,3.92,-80.56,-5.62,
1066.,Varyaa Creations,40.00,45.62,19.16,0.00,-0.20,-150.00,16.02,61.82,6.61,
1067.,Swasth Foodtech,32.00,7.78,18.74,0.00,0.59,-61.18,80.35,50.10,13.63,
1068.,Avax Apparels,178.40,11.37,18.54,0.00,0.73,,19.35,,43.81,
1069.,Ishan Internat.,0.85,87.52,18.38,0.00,-0.11,-134.55,42.71,102.23,2.88,
1070.,Vivaa Tradecom,46.00,23.83,18.11,0.00,0.52,57.58,126.75,36.03,4.37,
1071.,Scarnose Inter.,57.45,95.26,18.10,0.00,0.15,200.00,2.40,485.37,2.59,
1072.,Rita Finance and,18.01,31.05,18.01,0.00,0.22,15.79,0.37,15.62,4.62,
1073.,Jiwanram Sheo,7.05,6.49,17.45,0.00,1.38,67.92,35.13,37.98,4.40,
1074.,Saroja Pharma In,43.15,16.84,17.35,0.00,0.70,84.21,35.11,81.35,12.57,
1075.,Dhyaani Trade,10.15,192.00,17.28,0.00,0.02,-124.56,1.47,-92.33,1.96,
1076.,Veritaas Adver.,61.20,11.68,17.28,0.00,0.65,-29.35,8.25,43.98,22.37,
1077.,Labelkraft Tech.,52.75,13.80,17.11,0.00,0.79,29.51,10.61,15.45,14.06,
1078.,Arrowhead Sepera,88.00,40.17,16.47,0.00,-0.30,-129.41,11.92,0.59,6.17,
1079.,Dhillon Freight,40.60,17.69,15.92,0.00,,,,,23.82,
1080.,Euphoria Infotec,54.15,8.78,15.71,0.00,0.82,164.52,6.26,165.25,16.20,
1081.,Resourceful Auto,59.10,12.36,15.70,0.00,1.95,29.14,12.51,-1.50,13.43,
1082.,Tejassvi Aaharam,22.17,,15.52,0.00,-0.22,-15.79,15.38,,-123.08,
1083.,Kahan Packaging,56.00,13.60,15.23,0.00,0.58,28.89,14.23,13.57,14.28,
1084.,Kenrik Indust.,11.95,15.08,14.93,0.00,0.63,1160.00,52.94,31.99,10.63,
1085.,Plada Infotech S,16.95,7.73,14.53,0.00,0.99,-36.54,34.53,0.15,10.69,
1086.,Winny Immigratio,66.00,,14.32,0.00,-2.64,-333.63,3.92,-37.38,-116.40,
1087.,Asian Warehous.,40.80,,14.23,0.00,0.00,-100.00,0.44,4.76,1.58,
1088.,Niraj Ispat Ind.,231.97,9.53,13.92,0.00,0.40,42.86,0.95,5.56,10.75,
1089.,Globale Tessile,12.80,,13.59,0.00,-0.36,-183.72,1.04,-94.45,-0.47,
1090.,Adhata Global,28.64,150.11,13.51,0.00,-0.17,-375.00,2.09,86.61,10.26,
1091.,Sahara Maritime,43.70,55.92,13.42,0.00,0.57,-19.72,17.45,113.59,3.44,
1092.,Vedant Asset,48.00,60.27,13.26,0.00,0.03,-75.00,1.92,34.27,6.87,
1093.,Future Ent. DVR,3.30,,12.99,0.00,6.10,-90.68,2899.46,22.43,,
1094.,Steelco Gujarat,25.59,,12.71,0.00,-4.64,-45.91,0.33,6.45,-9.27,
1095.,Rite Zone,30.00,14.26,12.69,0.00,0.28,-61.64,11.94,-25.00,7.73,
1096.,Associated Coat.,92.50,11.80,12.51,0.00,0.40,,2.21,,32.62,
1097.,Reetech Intl,28.65,,12.11,0.00,-5.05,-631.58,6.11,-69.28,-0.26,
1098.,Amiable Logistic,67.90,15.42,11.87,0.00,0.10,-85.29,9.13,-25.35,11.79,
1099.,DAPS Advertising,22.80,9.92,11.80,0.88,0.78,34.48,11.05,14.98,9.90,
1100.,Solve Plastic,26.60,,11.62,0.00,-2.84,-395.83,21.38,-5.44,-24.67,
1101.,Indifra Ltd,15.80,1152.00,11.52,0.00,-0.26,-2500.00,2.17,-76.94,0.11,
1102.,Veerkrupa Jewel,0.86,56.35,11.27,0.00,0.16,-30.43,20.99,378.13,1.17,
1103.,Kizi Apparels,14.23,12.94,11.13,0.00,0.45,0.00,14.00,19.66,12.11,
1104.,Lyons Corporate,23.52,,11.00,0.00,-0.01,80.00,0.29,31.82,6.10,
1105.,Shentracon Chem.,24.55,90.83,10.90,0.00,0.07,240.00,0.00,,-8.49,
1106.,3C IT Solutions,17.21,,10.36,0.00,0.11,-85.33,13.02,4.41,5.99,
1107.,Sahaj Fashions,7.85,11.00,10.34,0.00,0.51,,53.36,,8.27,
1108.,Magenta Life,15.00,128.75,10.30,0.00,0.05,-94.51,4.34,-7.86,2.61,
1109.,Patron Exim,4.41,146.00,10.22,0.00,0.32,-45.76,24.36,357.89,0.28,
1110.,Globesecure Tech,6.30,,10.04,0.00,-3.11,-488.75,6.38,-53.87,-4.85,
1111.,Padmanabh Alloys,18.49,91.00,10.01,0.00,-0.27,-800.00,10.33,7.49,4.34,
1112.,Broach Lifecare,16.10,18.09,9.77,0.00,0.09,-80.85,1.37,-19.41,9.45,
1113.,Sabar Flex India,5.65,13.73,9.75,0.00,-0.15,-105.51,86.46,-1.79,5.94,
1114.,GACM Tech-DVR,0.51,8.56,9.67,0.00,,,,,13.32,
1115.,Finelistings Tec,26.40,,9.60,0.00,-2.53,-477.61,7.34,29.68,-32.56,
1116.,Clinitech Lab,42.00,28.21,9.59,0.00,0.17,-43.33,4.16,24.55,8.15,
1117.,Sanchay Finvest,30.32,,9.55,0.00,-0.34,-150.88,0.00,-100.00,-0.94,
1118.,Falcon,17.55,12.70,9.40,0.00,0.39,-52.44,13.98,10.69,10.59,
1119.,Gconnect Logitec,24.32,32.32,9.05,0.00,0.11,1000.00,2.14,13.23,6.43,
1120.,Sailani Tours N,19.00,47.05,8.94,0.00,0.10,11.11,10.59,38.79,4.93,
1121.,Naturo Indiabull,4.18,,7.89,0.00,0.49,-35.53,13.39,-53.39,-2.50,
1122.,Siddhes. Garment,23.50,,7.78,0.00,-0.02,0.00,0.00,,0.00,
1123.,Kalahridhaan Tre,4.50,1.84,7.73,11.11,0.98,-79.71,88.97,5.58,19.29,
1124.,Amanaya Ventures,19.98,25.76,7.47,0.00,0.02,-33.33,20.08,52.47,7.93,
1125.,Net Avenue,3.45,,7.40,0.00,-1.95,12.16,12.73,-0.93,-43.93,
1126.,Sparc Electrex,6.54,,6.65,0.00,-0.66,-1750.00,0.10,-88.76,-7.92,
1127.,Apollo Ingredie.,6.27,,6.52,0.00,-0.11,,0.56,12.00,10.57,
1128.,Harig Crankshaft,5.62,,5.90,0.00,-2.22,-6.22,0.00,,,
1129.,Tirth Plastic,13.07,,5.82,0.00,-0.02,-300.00,0.00,,0.40,
1130.,Natl. Plywood,2.25,,5.54,0.00,-0.55,-184.62,2.11,-79.37,,
1131.,Mafia Trends,12.38,13.39,5.49,0.00,0.32,23.08,5.34,40.53,7.59,
1132.,Simplex Papers,1614.95,,4.85,0.00,-0.03,25.00,0.00,,-34.78,
1133.,Richa Industries,1.65,,3.87,0.00,-5.84,-94.02,9.37,62.67,,
1134.,Swadha Nature,9.41,,3.85,0.00,-0.01,-200.00,0.00,-100.00,-3.51,
1135.,Shikhar Cons.,6.70,,3.04,0.00,-0.05,-25.00,0.00,,-3.27,
1136.,Revati Media,9.58,,2.87,0.00,-0.06,0.00,0.00,,-10.79,
1137.,Wardwizard Healt,39.19,,0.96,0.00,-0.21,-40.00,0.19,,-58.66,
